city,country
Antwerp,Belgium
Brussels,Belgium
Paris,France
Madrid,Spain
Berlin,Germany
Zurich,Switzerland
Rome,Italy
Lisbon,Portugal
Oslo,Norway
Vienna,Austria
London,United Kingdom
La Paz,Bolivia
Cochabamba,Bolivia
Santa Cruz,Bolivia
Tarija,Bolivia
Trinidad,Bolivia
Qollpana,Bolivia
Uyuni,Bolivia
Sucre,Bolivia
Santiago,Chile
Buenos Aires,Argentina
Asuncion,Paraguay
Montevideo,Uruguay
Lima,Peru
Brasilia,Brazil
Quito,Ecuador
Bogota,Colombia
Caracas,Venezuela
Paramaribo,Suriname
Georgetown,Guyana
Cayenne,French Guiana
Mexico,Mexico
Sao Paulo,Brazil
